FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW,Category,H2_required,el_size_approx,NG_usd_per_mmbtu,NG_usd_per_kwh
2010,2499,30,Wood products,7488,12343,941,9.93E+11,275779.877,36.8295776,0.036829578,Chemicals_Dryer,8274.223732,0.047892819,0.076237544,0.04475671
1992,3469,66,METAL PRODUCTS,4000,4604,920,9.71E+11,269625.3846,67.40634614,0.067406346,Chemicals_Dryer,8089.570495,0.087654546,0.199826238,0.017075544
2022,3672,200,Circuits and Cable Harnesses,5000,7925,896,9.45E+11,262591.6789,52.51833577,0.052518336,Metal_Oven,7878.538221,0.068294325,0.113059937,0.030179936
2000,3699,85,Ultrasonic machining of silicon,6600,4952,863,9.11E+11,252920.3336,38.32126266,0.038321263,Chemicals_Dryer,7588.368845,0.049832592,0.174273021,0.019579288
2019,3452,90,Automotive Fasteners,4000,7126,842,8.88E+11,246765.8411,61.69146027,0.06169146,Metal_Oven,7403.715605,0.080222965,0.118158855,0.028877579
2019,3452,90,Automotive Fasteners,4000,7126,842,8.88E+11,246765.8411,61.69146027,0.06169146,Metal_Oven,7403.715605,0.080222965,0.118158855,0.028877579
1988,3612,130,POWER SYSTEMS,2080,4749,839,8.85E+11,245886.6279,118.2147249,0.118214725,Chemicals_Dryer,7377.336571,0.15372526,0.176668772,0.019313779
1998,3566,24,"Gears, Sprockets, Splines, & Racks",3300,4152,790,8.33E+11,231526.1454,70.15943801,0.070159438,Metal_Oven,6946.47901,0.09123464,0.19026975,0.01793318
1991,3545,100,DIES FOR BEVERAGE CANS,5500,3641,761,8.03E+11,223027.0844,40.55037898,0.040550379,FD_Boiler,6691.48168,0.052731312,0.209008514,0.016325371
1998,3569,35,Robotic systems for premium casting industry,3150,3450,714,7.53E+11,209252.7441,66.42944257,0.066429443,Metal_Oven,6278.210144,0.086384191,0.206956522,0.016487239
2013,3672,85,Contract manufacturer primarily circuits and cables,2250,6716,711,7.5E+11,208373.5309,92.61045817,0.092610458,Metal_Oven,6251.83111,0.120429724,0.105866587,0.032230581
1989,3559,70,CUSTOM MADE MACHINES,4300,3163,703,7.42E+11,206028.9623,47.91371217,0.047913712,Chemicals_Dryer,6181.487018,0.062306518,0.222257351,0.015352211
2023,3081,70,Polymers,8112,7403,702,7.41E+11,205735.8913,25.36191953,0.02536192,Chemicals_Dryer,6172.694008,0.03298039,0.094826422,0.035983026
1983,3069,25,RUBBER SEALS,2100,3206,698,7.36E+11,204563.607,97.41124142,0.097411241,Metal_Oven,6137.521962,0.126672615,0.217716781,0.015672387
1995,3999,50,recycled paper and metal,2500,3484,644,6.79E+11,188737.7692,75.49510768,0.075495108,Chemicals_Dryer,5662.699346,0.098173092,0.184845006,0.018459474
2023,2821,7,Thermoplastic polymers and resins,2210,7338,634,6.69E+11,185807.0585,84.07559208,0.084075592,Chemicals_Dryer,5574.769232,0.109331069,0.086399564,0.039492579
1995,3599,40,"fans, dampers, ac for nuclear plants",3500,3538,592,6.25E+11,173498.0735,49.57087815,0.049570878,Metal_Oven,5205.462751,0.06446148,0.167326173,0.020392157
1995,3589,140,aqueous degreasing washers,3400,3063,562,5.93E+11,164705.9414,48.44292395,0.048442924,Chemicals_Dryer,4941.672409,0.0629947,0.183480248,0.018596779
2012,3469,45,Metal Fabrication,4000,4827,521,5.5E+11,152690.0276,38.17250689,0.038172507,Metal_Oven,4581.158944,0.049639151,0.107934535,0.031613067
2012,3469,45,Metal Fabrication,4000,4827,521,5.5E+11,152690.0276,38.17250689,0.038172507,Metal_Oven,4581.158944,0.049639151,0.107934535,0.031613067
2012,3469,45,Metal Fabrication,4000,4827,521,5.5E+11,152690.0276,38.17250689,0.038172507,Metal_Oven,4581.158944,0.049639151,0.107934535,0.031613067
1999,3086,110,EPS food packaging,8568,2653,521,5.5E+11,152690.0276,17.82096493,0.017820965,FD_Boiler,4581.158944,0.023174207,0.196381455,0.017375071
2008,3544,12,"Tooling for Foundries (Wood, Metal, and Plastic)",2200,6543,516,5.44E+11,151224.6722,68.73848737,0.068738487,Chemicals_Dryer,4537.193885,0.089386849,0.078862907,0.043266749
2000,3495,60,precision mechanical springs and formed wire components,4750,2470,511,5.39E+11,149759.3169,31.52827723,0.031528277,Chemicals_Dryer,4493.22883,0.04099906,0.206882591,0.016493131
2022,3599,50,Machining,6240,3872,503,5.31E+11,147414.7483,23.62415838,0.023624158,Chemicals_Dryer,4422.884737,0.030720622,0.129907025,0.026266029
2023,7922,9,Theatrical Productions,1586,6223,479,5.05E+11,140381.0426,88.51263721,0.088512637,Chemicals_Dryer,4211.852463,0.115100958,0.076972521,0.044329347
2018,3061,120,Molded Rubber Goods,6000,3378,423,4.46E+11,123969.0627,20.66151045,0.02066151,Chemicals_Dryer,3719.443825,0.026868023,0.125222025,0.027248734
